#sample number,P,I,overshoot,t5%
162,1.90E+02,8.65E+02,2.67E-02,1.83E-01
163,1.81E+02,8.65E+02,2.89E-02,1.91E-01
164,1.81E+02,9.06E+02,4.20E-02,1.89E-01
165,1.90E+02,9.32E+02,4.66E-02,1.63E-01
166,1.44E+02,7.41E+02,1.60E-03,2.32E-01
167,1.90E+02,8.65E+02,2.67E-02,1.83E-01
168,1.40E+02,7.96E+02,2.64E-02,2.27E-01
169,1.88E+02,8.53E+02,2.35E-02,1.83E-01
170,1.55E+02,7.22E+02,0.00E+00,2.29E-01
171,1.71E+02,7.98E+02,9.45E-03,2.08E-01
172,1.57E+02,7.97E+02,1.49E-02,2.18E-01
173,1.48E+02,7.66E+02,8.30E-03,2.26E-01
174,1.58E+02,7.93E+02,1.32E-02,2.18E-01
175,1.90E+02,8.65E+02,2.67E-02,1.83E-01
176,1.90E+02,8.65E+02,2.67E-02,1.83E-01
177,1.49E+02,7.93E+02,1.83E-02,2.25E-01
178,1.90E+02,8.65E+02,2.67E-02,1.83E-01
179,1.73E+02,8.23E+02,1.73E-02,1.95E-01
180,1.56E+02,8.26E+02,2.58E-02,2.08E-01
181,1.90E+02,9.32E+02,4.66E-02,1.63E-01
182,1.72E+02,7.95E+02,8.38E-03,2.00E-01
183,1.90E+02,9.32E+02,4.66E-02,1.63E-01
184,1.54E+02,7.41E+02,0.00E+00,2.31E-01
185,1.82E+02,9.32E+02,4.97E-02,1.90E-01
186,1.90E+02,8.65E+02,2.67E-02,1.83E-01
187,1.90E+02,9.32E+02,4.66E-02,1.63E-01
188,1.72E+02,8.53E+02,2.81E-02,1.96E-01
189,1.89E+02,9.33E+02,4.76E-02,1.63E-01
190,1.58E+02,7.37E+02,0.00E+00,2.33E-01
191,1.56E+02,7.68E+02,4.63E-03,2.19E-01
192,1.90E+02,9.32E+02,4.66E-02,1.63E-01
193,1.90E+02,9.32E+02,4.66E-02,1.63E-01
194,1.72E+02,7.95E+02,8.35E-03,2.08E-01
195,1.90E+02,9.32E+02,4.67E-02,1.62E-01
196,1.55E+02,7.40E+02,0.00E+00,2.32E-01
197,1.72E+02,8.53E+02,2.80E-02,1.99E-01
